"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs_aumento_2a";"delitos_mcs_aumento_3a";"delitos_mcs_aumento_5a";"delitos_mcs_aumento_10a"
"79";6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins";1,34553821528611;1,49444444444444;1,12740989103101;0,915588835942818
"80";6102;"Codegua";6;"Libertador Gral. Bernardo O'Higgins";1,49489795918367;1,36915887850467;1,27391304347826;1,11832061068702
"81";6103;"Coinco";6;"Libertador Gral. Bernardo O'Higgins";1,78461538461538;1,61111111111111;1,41463414634146;0,859259259259259
"82";6104;"Coltauco";6;"Libertador Gral. Bernardo O'Higgins";1,08450704225352;1,07441860465116;1,02666666666667;1,1608040201005
"83";6105;"Doñihue";6;"Libertador Gral. Bernardo O'Higgins";1,13986013986014;1,27843137254902;0,976047904191617;0,928774928774929
"84";6106;"Graneros";6;"Libertador Gral. Bernardo O'Higgins";1,53020134228188;1,5049504950495;1,31034482758621;1,14
"85";6107;"Las Cabras";6;"Libertador Gral. Bernardo O'Higgins";1,48517520215633;1,48118279569892;1,43489583333333;1,41645244215938
"86";6108;"Machalí";6;"Libertador Gral. Bernardo O'Higgins";1,5273631840796;1,43681747269891;1,21825396825397;1,11231884057971
"87";6109;"Malloa";6;"Libertador Gral. Bernardo O'Higgins";0,913513513513514;1,12666666666667;1,03048780487805;0,82843137254902
"88";6110;"Mostazal";6;"Libertador Gral. Bernardo O'Higgins";1,37225042301184;1,47186932849365;1,29346092503987;1,31442463533225
"89";6111;"Olivar";6;"Libertador Gral. Bernardo O'Higgins";1,40828402366864;1,29347826086957;1,20812182741117;0,983471074380165
"90";6112;"Peumo";6;"Libertador Gral. Bernardo O'Higgins";1,5;1,37735849056604;1,04784688995215;1,21666666666667
"91";6113;"Pichidegua";6;"Libertador Gral. Bernardo O'Higgins";1,45505617977528;1,32142857142857;1,21028037383178;0,857615894039735
"92";6114;"Quinta de Tilcoco";6;"Libertador Gral. Bernardo O'Higgins";1,52100840336134;1,22297297297297;1,11728395061728;1,09036144578313
"93";6115;"Rengo";6;"Libertador Gral. Bernardo O'Higgins";1,54769921436588;1,66949152542373;1,47014925373134;1,18065068493151
"94";6116;"Requínoa";6;"Libertador Gral. Bernardo O'Higgins";1,55205047318612;1,51851851851852;1,27131782945736;0,896174863387978
"95";6117;"San Vicente";6;"Libertador Gral. Bernardo O'Higgins";1,49403747870528;1,42139384116694;1,0907960199005;0,956379498364231
"96";6201;"Pichilemu";6;"Libertador Gral. Bernardo O'Higgins";1,83611111111111;1,40339702760085;1,31150793650794;2,16013071895425
"97";6202;"La Estrella";6;"Libertador Gral. Bernardo O'Higgins";1,73809523809524;1,12307692307692;1,62222222222222;2,60714285714286
"98";6203;"Litueche";6;"Libertador Gral. Bernardo O'Higgins";0,969924812030075;1,22857142857143;1,55421686746988;1,74324324324324
"99";6204;"Marchihue";6;"Libertador Gral. Bernardo O'Higgins";1,23376623376623;1,14457831325301;0,95;1,35714285714286
"100";6205;"Navidad";6;"Libertador Gral. Bernardo O'Higgins";1,3047619047619;1,3047619047619;1,20175438596491;1,75641025641026
"101";6206;"Paredones";6;"Libertador Gral. Bernardo O'Higgins";2,43137254901961;2,63829787234043;2,21428571428571;2,38461538461538
"102";6301;"San Fernando";6;"Libertador Gral. Bernardo O'Higgins";1,31487055990367;1,218070273285;1,07851851851852;0,928966397277754
"103";6302;"Chépica";6;"Libertador Gral. Bernardo O'Higgins";1,58992805755396;1,61313868613139;1,99099099099099;1,79674796747967
"104";6303;"Chimbarongo";6;"Libertador Gral. Bernardo O'Higgins";1,26763110307414;1,53056768558952;1,50429184549356;1,39641434262948
"105";6304;"Lolol";6;"Libertador Gral. Bernardo O'Higgins";1,29411764705882;1,35384615384615;1,35384615384615;1,27536231884058
"106";6305;"Nancagua";6;"Libertador Gral. Bernardo O'Higgins";1,25141242937853;1,22038567493113;1,17195767195767;1,93449781659389
"107";6306;"Palmilla";6;"Libertador Gral. Bernardo O'Higgins";1,44444444444444;1,34814814814815;1,08333333333333;1,31884057971015
"108";6307;"Peralillo";6;"Libertador Gral. Bernardo O'Higgins";1,3943661971831;1,90384615384615;1,67796610169492;1,88571428571429
"109";6308;"Placilla";6;"Libertador Gral. Bernardo O'Higgins";1,21666666666667;1,02097902097902;0,935897435897436;0,895705521472393
"110";6309;"Pumanque";6;"Libertador Gral. Bernardo O'Higgins";2,02380952380952;3,14814814814815;1,88888888888889;4,47368421052632
"111";6310;"Santa Cruz";6;"Libertador Gral. Bernardo O'Higgins";1,41548183254344;1,29106628242075;1,08606060606061;1,01818181818182
"112";7101;"Talca";7;"Maule";1,38263292314836;1,31981382978723;0,93046875;0,975270226007206
"113";7102;"Constitución";7;"Maule";1,73565573770492;1,30307692307692;1,09149484536082;1,09009009009009
"114";7103;"Curepto";7;"Maule";1,08536585365854;1,05952380952381;1,08536585365854;1,23611111111111
"115";7104;"Empedrado";7;"Maule";1,12;1,07692307692308;0,96551724137931;0,451612903225806
"116";7105;"Maule";7;"Maule";1,4359756097561;1,5;1,18193224592221;1,27989130434783
"117";7106;"Pelarco";7;"Maule";0,973913043478261;1,14285714285714;1,19148936170213;1,02752293577982
"118";7107;"Pencahue";7;"Maule";1,51388888888889;1,18478260869565;1,32926829268293;1,15957446808511
"119";7108;"Río Claro";7;"Maule";1,18493150684932;1,01169590643275;1,13815789473684;1,44166666666667
"120";7109;"San Clemente";7;"Maule";1,55393053016453;1,88470066518847;1,46048109965636;1,61290322580645
"121";7110;"San Rafael";7;"Maule";1,20886075949367;1,37410071942446;1,28187919463087;1,46923076923077
"122";7201;"Cauquenes";7;"Maule";1,12903225806452;1,15894039735099;1,02739726027397;0,888324873096447
"123";7202;"Chanco";7;"Maule";0,944444444444444;1,01190476190476;1,02409638554217;0,833333333333333
"124";7203;"Pelluhue";7;"Maule";1,39130434782609;0,994818652849741;1,02673796791444;1,19254658385093
"125";7301;"Curicó";7;"Maule";1,36917562724014;1,551875;1,20125786163522;1,34071274298056
"126";7302;"Hualañé";7;"Maule";1,6304347826087;2,08333333333333;2,23880597014925;1,92307692307692
"127";7303;"Licantén";7;"Maule";2,01470588235294;1,82666666666667;1,47311827956989;1,73417721518987
"128";7304;"Molina";7;"Maule";1,44655581947743;1,53787878787879;1,4;1,20713577799802
"129";7305;"Rauco";7;"Maule";1,11034482758621;1,21052631578947;1,03870967741935;1,42477876106195
"130";7306;"Romeral";7;"Maule";1,17441860465116;1,22672064777328;1,22672064777328;1,94230769230769
"131";7307;"Sagrada Familia";7;"Maule";1,1605504587156;1,16589861751152;1,06302521008403;1,12444444444444
"132";7308;"Teno";7;"Maule";1,48877805486284;1,54263565891473;1,38837209302326;1,83128834355828
"133";7309;"Vichuquén";7;"Maule";1,87179487179487;1,28070175438596;1,5531914893617;1,30357142857143
"134";7401;"Linares";7;"Maule";1,32082551594747;1,25714285714286;0,954792043399638;0,925503943908852
"135";7402;"Colbún";7;"Maule";1,3452380952381;1,30384615384615;1,18531468531469;1,54090909090909
"136";7403;"Longaví";7;"Maule";1,01972386587771;1,23980815347722;1,27027027027027;1,46458923512748
"137";7404;"Parral";7;"Maule";1,36415362731152;1,45966514459665;1,16666666666667;1,40204678362573
"138";7405;"Retiro";7;"Maule";1,38341968911917;1,27751196172249;1,08979591836735;1,36224489795918
"139";7406;"San Javier";7;"Maule";1,24835742444152;1,25495376486129;1,12692763938316;1,4937106918239
"140";7407;"Villa Alegre";7;"Maule";1,05447470817121;1,05859375;1,05038759689922;1,3219512195122
"141";7408;"Yerbas Buenas";7;"Maule";1,12962962962963;1,16190476190476;1,21393034825871;1,18446601941748
"142";8101;"Concepción";8;"Biobío";1,37668424135911;1,49332768481254;1,02560372417806;0,826107335364425
"143";8102;"Coronel";8;"Biobío";1,32295271049596;1,41256157635468;1,02046263345196;0,830858384643245
"144";8103;"Chiguayante";8;"Biobío";1,1272051996286;1,24512820512821;1,02968617472434;0,60218253968254
"145";8104;"Florida";8;"Biobío";1,42168674698795;1,38011695906433;1,11320754716981;1,46583850931677
"146";8105;"Hualqui";8;"Biobío";1,00469483568075;1,25882352941176;1,01904761904762;0,831067961165049
"147";8106;"Lota";8;"Biobío";1,34098360655738;1,3257698541329;0,995133819951338;0,737601442741208
"148";8107;"Penco";8;"Biobío";1,28794326241135;1,25414364640884;0,97950377562028;0,876447876447876
"149";8108;"San Pedro de la Paz";8;"Biobío";1,2802734375;1,45747637576431;1,23214285714286;0,909469302809573
"150";8109;"Santa Juana";8;"Biobío";1,22685185185185;1,325;0,936395759717314;1,09053497942387
"151";8110;"Talcahuano";8;"Biobío";1,29253950753399;1,63277623026927;1,22543554006969;1,07817290006131
"152";8111;"Tomé";8;"Biobío";1,17166494312306;1,17045454545455;0,924143556280587;1,03564899451554
