"";"comuna";"cut_comuna";"region";"cut_region";"año";"pais";"n";"residencia";"estado"
"118";"Buin";13402;"Metropolitana de Santiago";13;2023;"Ecuador";19;"Temporal";"Otorgadas"
"119";"Buin";13402;"Metropolitana de Santiago";13;2023;"Estados Unidos";1;"Temporal";"Otorgadas"
"120";"Buin";13402;"Metropolitana de Santiago";13;2023;"Haití";8;"Temporal";"Otorgadas"
"121";"Buin";13402;"Metropolitana de Santiago";13;2023;"Italia";1;"Temporal";"Otorgadas"
"122";"Buin";13402;"Metropolitana de Santiago";13;2023;"México";1;"Temporal";"Otorgadas"
"123";"Buin";13402;"Metropolitana de Santiago";13;2023;"Perú";12;"Temporal";"Otorgadas"
"124";"Buin";13402;"Metropolitana de Santiago";13;2023;"República Dominicana";2;"Temporal";"Otorgadas"
"125";"Buin";13402;"Metropolitana de Santiago";13;2023;"Rusia";1;"Temporal";"Otorgadas"
"126";"Buin";13402;"Metropolitana de Santiago";13;2023;"Uruguay";2;"Temporal";"Otorgadas"
"127";"Buin";13402;"Metropolitana de Santiago";13;2023;"Venezuela";66;"Temporal";"Otorgadas"
"128";"Bulnes";16102;"Ñuble";16;2023;"Brasil";1;"Temporal";"Otorgadas"
"129";"Bulnes";16102;"Ñuble";16;2023;"Haití";2;"Temporal";"Otorgadas"
"130";"Cabildo";5402;"Valparaíso";5;2023;"Bolivia";14;"Temporal";"Otorgadas"
"131";"Cabildo";5402;"Valparaíso";5;2023;"Colombia";9;"Temporal";"Otorgadas"
"132";"Cabildo";5402;"Valparaíso";5;2023;"Ecuador";1;"Temporal";"Otorgadas"
"133";"Cabildo";5402;"Valparaíso";5;2023;"Haití";2;"Temporal";"Otorgadas"
"134";"Cabildo";5402;"Valparaíso";5;2023;"Venezuela";2;"Temporal";"Otorgadas"
"135";"Cabo de Hornos";12201;"Magallanes y de la Antártica Chilena";12;2023;"Venezuela";2;"Temporal";"Otorgadas"
"136";"Cabrero";8303;"Biobío";8;2023;"Brasil";1;"Temporal";"Otorgadas"
"137";"Cabrero";8303;"Biobío";8;2023;"Colombia";8;"Temporal";"Otorgadas"
"138";"Cabrero";8303;"Biobío";8;2023;"Haití";1;"Temporal";"Otorgadas"
"139";"Cabrero";8303;"Biobío";8;2023;"México";1;"Temporal";"Otorgadas"
"140";"Cabrero";8303;"Biobío";8;2023;"Venezuela";7;"Temporal";"Otorgadas"
"141";"Calama";2201;"Antofagasta";2;2023;"Argentina";27;"Temporal";"Otorgadas"
"142";"Calama";2201;"Antofagasta";2;2023;"Bolivia";1084;"Temporal";"Otorgadas"
"143";"Calama";2201;"Antofagasta";2;2023;"Brasil";3;"Temporal";"Otorgadas"
"144";"Calama";2201;"Antofagasta";2;2023;"China";2;"Temporal";"Otorgadas"
"145";"Calama";2201;"Antofagasta";2;2023;"Colombia";300;"Temporal";"Otorgadas"
"146";"Calama";2201;"Antofagasta";2;2023;"Cuba";3;"Temporal";"Otorgadas"
"147";"Calama";2201;"Antofagasta";2;2023;"Ecuador";25;"Temporal";"Otorgadas"
"148";"Calama";2201;"Antofagasta";2;2023;"España";6;"Temporal";"Otorgadas"
"149";"Calama";2201;"Antofagasta";2;2023;"Guatemala";2;"Temporal";"Otorgadas"
"150";"Calama";2201;"Antofagasta";2;2023;"México";2;"Temporal";"Otorgadas"
"151";"Calama";2201;"Antofagasta";2;2023;"Otro país";2;"Temporal";"Otorgadas"
"152";"Calama";2201;"Antofagasta";2;2023;"Pakistán";1;"Temporal";"Otorgadas"
"153";"Calama";2201;"Antofagasta";2;2023;"Panamá";1;"Temporal";"Otorgadas"
"154";"Calama";2201;"Antofagasta";2;2023;"Paraguay";10;"Temporal";"Otorgadas"
"155";"Calama";2201;"Antofagasta";2;2023;"Perú";115;"Temporal";"Otorgadas"
"156";"Calama";2201;"Antofagasta";2;2023;"Portugal";2;"Temporal";"Otorgadas"
"157";"Calama";2201;"Antofagasta";2;2023;"República Dominicana";1;"Temporal";"Otorgadas"
"158";"Calama";2201;"Antofagasta";2;2023;"Rusia";1;"Temporal";"Otorgadas"
"159";"Calama";2201;"Antofagasta";2;2023;"Uruguay";2;"Temporal";"Otorgadas"
"160";"Calama";2201;"Antofagasta";2;2023;"Venezuela";83;"Temporal";"Otorgadas"
"161";"Calbuco";10102;"Los Lagos";10;2023;"Colombia";7;"Temporal";"Otorgadas"
"162";"Calbuco";10102;"Los Lagos";10;2023;"Corea del Sur";1;"Temporal";"Otorgadas"
"163";"Calbuco";10102;"Los Lagos";10;2023;"Cuba";2;"Temporal";"Otorgadas"
"164";"Calbuco";10102;"Los Lagos";10;2023;"Ecuador";1;"Temporal";"Otorgadas"
"165";"Calbuco";10102;"Los Lagos";10;2023;"Haití";2;"Temporal";"Otorgadas"
"166";"Calbuco";10102;"Los Lagos";10;2023;"Venezuela";15;"Temporal";"Otorgadas"
"167";"Caldera";3102;"Atacama";3;2023;"Argentina";5;"Temporal";"Otorgadas"
"168";"Caldera";3102;"Atacama";3;2023;"Bolivia";10;"Temporal";"Otorgadas"
"169";"Caldera";3102;"Atacama";3;2023;"China";1;"Temporal";"Otorgadas"
"170";"Caldera";3102;"Atacama";3;2023;"Colombia";27;"Temporal";"Otorgadas"
"171";"Caldera";3102;"Atacama";3;2023;"Cuba";1;"Temporal";"Otorgadas"
"172";"Caldera";3102;"Atacama";3;2023;"Ecuador";6;"Temporal";"Otorgadas"
"173";"Caldera";3102;"Atacama";3;2023;"México";1;"Temporal";"Otorgadas"
"174";"Caldera";3102;"Atacama";3;2023;"Paraguay";2;"Temporal";"Otorgadas"
"175";"Caldera";3102;"Atacama";3;2023;"Perú";17;"Temporal";"Otorgadas"
"176";"Caldera";3102;"Atacama";3;2023;"Venezuela";10;"Temporal";"Otorgadas"
"177";"Calera";5502;"Valparaíso";5;2023;"Argentina";3;"Temporal";"Otorgadas"
"178";"Calera";5502;"Valparaíso";5;2023;"Bolivia";1;"Temporal";"Otorgadas"
"179";"Calera";5502;"Valparaíso";5;2023;"Colombia";40;"Temporal";"Otorgadas"
"180";"Calera";5502;"Valparaíso";5;2023;"Ecuador";5;"Temporal";"Otorgadas"
"181";"Calera";5502;"Valparaíso";5;2023;"Estados Unidos";1;"Temporal";"Otorgadas"
"182";"Calera";5502;"Valparaíso";5;2023;"Haití";10;"Temporal";"Otorgadas"
"183";"Calera";5502;"Valparaíso";5;2023;"Perú";12;"Temporal";"Otorgadas"
"184";"Calera";5502;"Valparaíso";5;2023;"Venezuela";67;"Temporal";"Otorgadas"
