"";"cut_comuna";"cut_region";"tipo";"n"
"369";"09118";9;"Reten";1
"370";"09118";9;"Tenencia";1
"371";"09119";9;"Reten";3
"372";"09119";9;"Tenencia";1
"373";"09120";9;"Comisaria";1
"374";"09120";9;"Prefectura";1
"375";"09120";9;"Reten";1
"376";"09120";9;"Subcomisaria";1
"377";"09121";9;"Reten";1
"378";"09201";9;"Comisaria";1
"379";"09201";9;"Prefectura";1
"380";"09202";9;"Comisaria";1
"381";"09202";9;"Reten";3
"382";"09203";9;"Comisaria";1
"383";"09203";9;"Reten";2
"384";"09204";9;"Reten";1
"385";"09204";9;"Tenencia";1
"386";"09205";9;"Reten";3
"387";"09205";9;"Subcomisaria";1
"388";"09205";9;"Tenencia";1
"389";"09206";9;"Subcomisaria";1
"390";"09207";9;"Reten";2
"391";"09207";9;"Tenencia";1
"392";"09208";9;"Tenencia";1
"393";"09209";9;"Reten";1
"394";"09209";9;"Tenencia";1
"395";"09210";9;"Comisaria";1
"396";"09210";9;"Reten";1
"397";"09211";9;"Comisaria";1
"398";"09211";9;"Reten";2
"399";"09211";9;"Tenencia carreteras";1
"400";"10101";10;"Comisaria";2
"401";"10101";10;"Prefectura";1
"402";"10101";10;"Reten";2
"403";"10101";10;"Subcomisaria";2
"404";"10101";10;"Tenencia";3
"405";"10101";10;"Zona";1
"406";"10102";10;"Comisaria";1
"407";"10102";10;"Reten";3
"408";"10103";10;"Reten";6
"409";"10104";10;"Reten";2
"410";"10104";10;"Tenencia";1
"411";"10105";10;"Reten";1
"412";"10105";10;"Subcomisaria";1
"413";"10106";10;"Reten";2
"414";"10106";10;"Tenencia";1
"415";"10107";10;"Reten";2
"416";"10107";10;"Subcomisaria";1
"417";"10108";10;"Comisaria";1
"418";"10108";10;"Reten";3
"419";"10108";10;"Tenencia";1
"420";"10109";10;"Comisaria";1
"421";"10109";10;"Reten";2
"422";"10109";10;"Tenencia";2
"423";"10109";10;"Tenencia carreteras";1
"424";"10201";10;"Comisaria";1
"425";"10201";10;"Prefectura";1
"426";"10202";10;"Comisaria";1
"427";"10202";10;"Tenencia";2
"428";"10203";10;"Tenencia";1
"429";"10204";10;"Reten";1
"430";"10205";10;"Tenencia";1
"431";"10206";10;"Reten";1
"432";"10207";10;"Reten";1
"433";"10208";10;"Subcomisaria";1
"434";"10209";10;"Reten";2
"435";"10210";10;"Reten";1
"436";"10210";10;"Subcomisaria";1
"437";"10301";10;"Comisaria";2
"438";"10301";10;"Prefectura";1
"439";"10301";10;"Reten";4
"440";"10301";10;"Subcomisaria";2
"441";"10301";10;"Tenencia carreteras";1
"442";"10302";10;"Reten";2
"443";"10302";10;"Tenencia";1
"444";"10303";10;"Reten";2
"445";"10303";10;"Subcomisaria";1
"446";"10304";10;"Tenencia";2
"447";"10305";10;"Comisaria";1
"448";"10305";10;"Reten";1
"449";"10306";10;"Reten";2
"450";"10307";10;"Reten";2
"451";"10307";10;"Tenencia";1
"452";"10401";10;"Comisaria";2
"453";"10401";10;"Reten";1
"454";"10402";10;"Comisaria";1
"455";"10402";10;"Tenencia";1
"456";"10403";10;"Reten";2
"457";"10403";10;"Tenencia";1
"458";"10404";10;"Comisaria";1
"459";"10404";10;"Reten";1
"460";"10404";10;"Tenencia";1
"461";"11101";11;"Comisaria";1
"462";"11101";11;"Prefectura";1
"463";"11101";11;"Reten";4
"464";"11101";11;"Tenencia";2
"465";"11101";11;"Zona";1
"466";"11102";11;"Reten";2
"467";"11201";11;"Comisaria";1
"468";"11201";11;"Reten";3
"469";"11202";11;"Reten";2
"470";"11202";11;"Tenencia";2
"471";"11203";11;"Reten";1
"472";"11301";11;"Comisaria";1
"473";"11301";11;"Reten";1
"474";"11302";11;"Subcomisaria";1
"475";"11302";11;"Tenencia";2
"476";"11303";11;"Reten";1
"477";"11401";11;"Comisaria";1
"478";"11401";11;"Reten";1
"479";"11402";11;"Reten";1
"480";"11402";11;"Tenencia";1
"481";"12101";12;"Comisaria";1
"482";"12101";12;"Prefectura";1
"483";"12101";12;"Reten";2
"484";"12101";12;"Subcomisaria";1
"485";"12101";12;"Tenencia";1
"486";"12101";12;"Zona";1
"487";"12102";12;"Reten";2
"488";"12104";12;"Reten";2
"489";"12104";12;"Tenencia";1
"490";"12201";12;"Reten";1
"491";"12201";12;"Subcomisaria";1
"492";"12201";12;"Tenencia";1
"493";"12301";12;"Comisaria";1
"494";"12301";12;"Tenencia";1
"495";"12302";12;"Tenencia";1
"496";"12303";12;"Reten";1
"497";"12401";12;"Comisaria";1
"498";"12401";12;"Reten";2
"499";"12401";12;"Subcomisaria";1
"500";"12402";12;"Reten";3
"501";"13101";13;"Comisaria";6
"502";"13101";13;"Prefectura";1
"503";"13101";13;"Zona";1
"504";"13102";13;"Comisaria";1
"505";"13102";13;"Subcomisaria";1
"506";"13103";13;"Comisaria";1
"507";"13104";13;"Comisaria";1
"508";"13104";13;"Reten";1
"509";"13104";13;"Subcomisaria";1
"510";"13105";13;"Comisaria";1
"511";"13105";13;"Reten";1
"512";"13106";13;"Comisaria";2
"513";"13106";13;"Reten";1
"514";"13106";13;"Subcomisaria";1
"515";"13107";13;"Comisaria";1
"516";"13108";13;"Comisaria";2
"517";"13108";13;"Prefectura";1
"518";"13108";13;"Subcomisaria";2
"519";"13108";13;"Tenencia";1
"520";"13109";13;"Comisaria";1
"521";"13109";13;"Prefectura";1
"522";"13109";13;"Tenencia";1
"523";"13110";13;"Comisaria";1
"524";"13110";13;"Subcomisaria";2
"525";"13110";13;"Tenencia";1
"526";"13111";13;"Comisaria";1
"527";"13111";13;"Subcomisaria";1
"528";"13111";13;"Tenencia";1
"529";"13112";13;"Comisaria";1
"530";"13112";13;"Reten";1
"531";"13113";13;"Comisaria";1
"532";"13114";13;"Comisaria";2
"533";"13115";13;"Comisaria";1
"534";"13115";13;"Reten";1
"535";"13116";13;"Comisaria";1
"536";"13116";13;"Tenencia";2
"537";"13117";13;"Comisaria";1
"538";"13118";13;"Comisaria";1
"539";"13119";13;"Comisaria";2
"540";"13119";13;"Subcomisaria";1
"541";"13120";13;"Comisaria";2
"542";"13120";13;"Prefectura";1
"543";"13121";13;"Comisaria";1
"544";"13121";13;"Tenencia";3
"545";"13122";13;"Comisaria";1
"546";"13122";13;"Subcomisaria";1
"547";"13122";13;"Tenencia";1
"548";"13123";13;"Comisaria";2
"549";"13123";13;"Tenencia";1
"550";"13124";13;"Comisaria";3
"551";"13124";13;"Prefectura";1
"552";"13124";13;"Subcomisaria";1
"553";"13125";13;"Comisaria";1
"554";"13126";13;"Comisaria";1
"555";"13126";13;"Subcomisaria";2
"556";"13127";13;"Comisaria";1
"557";"13127";13;"Prefectura";1
"558";"13127";13;"Tenencia";3
"559";"13128";13;"Comisaria";1
"560";"13128";13;"Tenencia";1
"561";"13129";13;"Comisaria";1
"562";"13130";13;"Comisaria";1
"563";"13131";13;"Comisaria";1
"564";"13132";13;"Comisaria";1
"565";"13201";13;"Comisaria";2
"566";"13201";13;"Prefectura";1
"567";"13201";13;"Reten";2
"568";"13201";13;"Subcomisaria";1
"569";"13202";13;"Tenencia";1
"570";"13203";13;"Reten";1
"571";"13203";13;"Subcomisaria";1
"572";"13301";13;"Comisaria";1
"573";"13302";13;"Tenencia";2
"574";"13302";13;"Tenencia carreteras";1
"575";"13303";13;"Reten";3
"576";"13303";13;"Tenencia";1
"577";"13401";13;"Comisaria";1
"578";"13401";13;"Prefectura";1
"579";"13401";13;"Subcomisaria";1
"580";"13402";13;"Comisaria";1
"581";"13402";13;"Reten";3
"582";"13402";13;"Subcomisaria";1
"583";"13403";13;"Subcomisaria";1
"584";"13404";13;"Reten";3
"585";"13404";13;"Subcomisaria";1
"586";"13404";13;"Tenencia carreteras";1
"587";"13501";13;"Comisaria";1
"588";"13501";13;"Reten";4
"589";"13502";13;"Tenencia";1
"590";"13503";13;"Subcomisaria";1
"591";"13503";13;"Tenencia carreteras";1
"592";"13504";13;"Tenencia";1
"593";"13505";13;"Reten";1
"594";"13505";13;"Tenencia";1
"595";"13601";13;"Comisaria";1
"596";"13602";13;"Reten";1
"597";"13602";13;"Tenencia";1
"598";"13602";13;"Tenencia carreteras";1
"599";"13603";13;"Reten";1
"600";"13603";13;"Tenencia";1
"601";"13604";13;"Tenencia";1
"602";"13604";13;"Tenencia carreteras";1
"603";"13605";13;"Subcomisaria";1
"604";"13605";13;"Tenencia";1
"605";"14101";14;"Comisaria";1
"606";"14101";14;"Prefectura";1
"607";"14101";14;"Reten";3
"608";"14101";14;"Subcomisaria";2
"609";"14101";14;"Tenencia";2
"610";"14101";14;"Zona";1
"611";"14102";14;"Tenencia";1
"612";"14103";14;"Reten";1
"613";"14103";14;"Subcomisaria";1
"614";"14104";14;"Comisaria";1
"615";"14104";14;"Reten";2
"616";"14105";14;"Tenencia";1
