cut_comuna;comuna;cut_region;region;opciones;votos
5401;La Ligua;5;Valparaíso;VOTOS EN BLANCO;210
5401;La Ligua;5;Valparaíso;VOTOS NULOS;420
5802;Limache;5;Valparaíso;APRUEBO;13136
5802;Limache;5;Valparaíso;RECHAZO;22659
5802;Limache;5;Valparaíso;VOTOS EN BLANCO;250
5802;Limache;5;Valparaíso;VOTOS NULOS;674
5703;Llaillay;5;Valparaíso;APRUEBO;8497
5703;Llaillay;5;Valparaíso;RECHAZO;10476
5703;Llaillay;5;Valparaíso;VOTOS EN BLANCO;121
5703;Llaillay;5;Valparaíso;VOTOS NULOS;293
5301;Los Andes;5;Valparaíso;APRUEBO;19104
5301;Los Andes;5;Valparaíso;RECHAZO;28906
5301;Los Andes;5;Valparaíso;VOTOS EN BLANCO;251
5301;Los Andes;5;Valparaíso;VOTOS NULOS;732
5506;Nogales;5;Valparaíso;APRUEBO;7215
5506;Nogales;5;Valparaíso;RECHAZO;10079
5506;Nogales;5;Valparaíso;VOTOS EN BLANCO;155
5506;Nogales;5;Valparaíso;VOTOS NULOS;306
5803;Olmué;5;Valparaíso;APRUEBO;5056
5803;Olmué;5;Valparaíso;RECHAZO;10029
5803;Olmué;5;Valparaíso;VOTOS EN BLANCO;94
5803;Olmué;5;Valparaíso;VOTOS NULOS;354
5704;Panquehue;5;Valparaíso;APRUEBO;2142
5704;Panquehue;5;Valparaíso;RECHAZO;3917
5704;Panquehue;5;Valparaíso;VOTOS EN BLANCO;34
5704;Panquehue;5;Valparaíso;VOTOS NULOS;86
5403;Papudo;5;Valparaíso;APRUEBO;2310
5403;Papudo;5;Valparaíso;RECHAZO;3603
5403;Papudo;5;Valparaíso;VOTOS EN BLANCO;31
5403;Papudo;5;Valparaíso;VOTOS NULOS;53
5404;Petorca;5;Valparaíso;APRUEBO;3492
5404;Petorca;5;Valparaíso;RECHAZO;4465
5404;Petorca;5;Valparaíso;VOTOS EN BLANCO;89
5404;Petorca;5;Valparaíso;VOTOS NULOS;164
5105;Puchuncaví;5;Valparaíso;APRUEBO;6746
5105;Puchuncaví;5;Valparaíso;RECHAZO;9059
5105;Puchuncaví;5;Valparaíso;VOTOS EN BLANCO;114
