"";"cut_comuna";"comuna";"cut_region";"region";"delitos"
"175";9101;"Temuco";9;"La Araucanía";19580
"176";9102;"Carahue";9;"La Araucanía";999
"177";9103;"Cunco";9;"La Araucanía";877
"178";9104;"Curarrehue";9;"La Araucanía";454
"179";9105;"Freire";9;"La Araucanía";1507
"180";9106;"Galvarino";9;"La Araucanía";631
"181";9107;"Gorbea";9;"La Araucanía";731
"182";9108;"Lautaro";9;"La Araucanía";2337
"183";9109;"Loncoche";9;"La Araucanía";1621
"184";9110;"Melipeuco";9;"La Araucanía";293
"185";9111;"Nueva Imperial";9;"La Araucanía";1855
"186";9112;"Padre Las Casas";9;"La Araucanía";2826
"187";9113;"Perquenco";9;"La Araucanía";344
"188";9114;"Pitrufquén";9;"La Araucanía";1442
"189";9115;"Pucón";9;"La Araucanía";2887
"190";9116;"Saavedra";9;"La Araucanía";642
"191";9117;"Teodoro Schmidt";9;"La Araucanía";759
"192";9118;"Toltén";9;"La Araucanía";431
"193";9119;"Vilcún";9;"La Araucanía";1330
"194";9120;"Villarrica";9;"La Araucanía";3699
"195";9121;"Cholchol";9;"La Araucanía";523
"196";9201;"Angol";9;"La Araucanía";2087
"197";9202;"Collipulli";9;"La Araucanía";1373
"198";9203;"Curacautín";9;"La Araucanía";760
"199";9204;"Ercilla";9;"La Araucanía";441
"200";9205;"Lonquimay";9;"La Araucanía";491
"201";9206;"Los Sauces";9;"La Araucanía";372
"202";9207;"Lumaco";9;"La Araucanía";436
"203";9208;"Purén";9;"La Araucanía";495
"204";9209;"Renaico";9;"La Araucanía";556
"205";9210;"Traiguén";9;"La Araucanía";935
"206";9211;"Victoria";9;"La Araucanía";1805
"207";10101;"Puerto Montt";10;"Los Lagos";22862
"208";10102;"Calbuco";10;"Los Lagos";2236
"209";10103;"Cochamó";10;"Los Lagos";196
"210";10104;"Fresia";10;"Los Lagos";917
"211";10105;"Frutillar";10;"Los Lagos";1219
"212";10106;"Los Muermos";10;"Los Lagos";786
"213";10107;"Llanquihue";10;"Los Lagos";1425
"214";10108;"Maullín";10;"Los Lagos";836
"215";10109;"Puerto Varas";10;"Los Lagos";2621
"216";10201;"Castro";10;"Los Lagos";3281
"217";10202;"Ancud";10;"Los Lagos";2009
"218";10203;"Chonchi";10;"Los Lagos";777
"219";10204;"Curaco de Vélez";10;"Los Lagos";101
"220";10205;"Dalcahue";10;"Los Lagos";718
"221";10206;"Puqueldón";10;"Los Lagos";148
"222";10207;"Queilén";10;"Los Lagos";279
"223";10208;"Quellón";10;"Los Lagos";1843
"224";10209;"Quemchi";10;"Los Lagos";250
"225";10210;"Quinchao";10;"Los Lagos";331
"226";10301;"Osorno";10;"Los Lagos";10509
"227";10302;"Puerto Octay";10;"Los Lagos";480
"228";10303;"Purranque";10;"Los Lagos";1017
"229";10304;"Puyehue";10;"Los Lagos";637
"230";10305;"Río Negro";10;"Los Lagos";665
"231";10306;"San Juan de la Costa";10;"Los Lagos";533
"232";10307;"San Pablo";10;"Los Lagos";514
"233";10401;"Chaitén";10;"Los Lagos";221
"234";10402;"Futaleufú";10;"Los Lagos";146
"235";10403;"Hualaihué";10;"Los Lagos";579
"236";10404;"Palena";10;"Los Lagos";67
"237";11101;"Coihaique";11;"Aysén del General Carlos Ibáñez del Campo";2506
"238";11102;"Lago Verde";11;"Aysén del General Carlos Ibáñez del Campo";54
"239";11201;"Aisén";11;"Aysén del General Carlos Ibáñez del Campo";1551
"240";11202;"Cisnes";11;"Aysén del General Carlos Ibáñez del Campo";376
"241";11203;"Guaitecas";11;"Aysén del General Carlos Ibáñez del Campo";250
"242";11301;"Cochrane";11;"Aysén del General Carlos Ibáñez del Campo";376
"243";11302;"O'Higgins";11;"Aysén del General Carlos Ibáñez del Campo";20
"244";11303;"Tortel";11;"Aysén del General Carlos Ibáñez del Campo";39
"245";11401;"Chile Chico";11;"Aysén del General Carlos Ibáñez del Campo";437
"246";11402;"Río Ibáñez";11;"Aysén del General Carlos Ibáñez del Campo";147
"247";12101;"Punta Arenas";12;"Magallanes y de la Antártica Chilena";3656
"248";12102;"Laguna Blanca";12;"Magallanes y de la Antártica Chilena";12
"249";12103;"Río Verde";12;"Magallanes y de la Antártica Chilena";4
"250";12104;"San Gregorio";12;"Magallanes y de la Antártica Chilena";31
"251";12201;"Cabo de Hornos";12;"Magallanes y de la Antártica Chilena";163
"252";12301;"Porvenir";12;"Magallanes y de la Antártica Chilena";325
"253";12302;"Primavera";12;"Magallanes y de la Antártica Chilena";61
"254";12303;"Timaukel";12;"Magallanes y de la Antártica Chilena";6
"255";12401;"Natales";12;"Magallanes y de la Antártica Chilena";971
"256";12402;"Torres del Paine";12;"Magallanes y de la Antártica Chilena";27
"257";13101;"Santiago";13;"Metropolitana de Santiago";44386
"258";13102;"Cerrillos";13;"Metropolitana de Santiago";5767
"259";13103;"Cerro Navia";13;"Metropolitana de Santiago";6588
"260";13104;"Conchalí";13;"Metropolitana de Santiago";6235
"261";13105;"El Bosque";13;"Metropolitana de Santiago";6380
"262";13106;"Estación Central";13;"Metropolitana de Santiago";14877
"263";13107;"Huechuraba";13;"Metropolitana de Santiago";4668
"264";13108;"Independencia";13;"Metropolitana de Santiago";9028
"265";13109;"La Cisterna";13;"Metropolitana de Santiago";6637
"266";13110;"La Florida";13;"Metropolitana de Santiago";15523
"267";13111;"La Granja";13;"Metropolitana de Santiago";5938
"268";13112;"La Pintana";13;"Metropolitana de Santiago";7238
"269";13113;"La Reina";13;"Metropolitana de Santiago";3891
"270";13114;"Las Condes";13;"Metropolitana de Santiago";8638
"271";13115;"Lo Barnechea";13;"Metropolitana de Santiago";2934
"272";13116;"Lo Espejo";13;"Metropolitana de Santiago";4551
"273";13117;"Lo Prado";13;"Metropolitana de Santiago";5885
"274";13118;"Macul";13;"Metropolitana de Santiago";5986
"275";13119;"Maipú";13;"Metropolitana de Santiago";21634
"276";13120;"Ñuñoa";13;"Metropolitana de Santiago";11267
"277";13121;"Pedro Aguirre Cerda";13;"Metropolitana de Santiago";4785
"278";13122;"Peñalolén";13;"Metropolitana de Santiago";8734
"279";13123;"Providencia";13;"Metropolitana de Santiago";14110
"280";13124;"Pudahuel";13;"Metropolitana de Santiago";12689
"281";13125;"Quilicura";13;"Metropolitana de Santiago";9152
"282";13126;"Quinta Normal";13;"Metropolitana de Santiago";8569
"283";13127;"Recoleta";13;"Metropolitana de Santiago";10877
"284";13128;"Renca";13;"Metropolitana de Santiago";6731
"285";13129;"San Joaquín";13;"Metropolitana de Santiago";5023
"286";13130;"San Miguel";13;"Metropolitana de Santiago";7526
"287";13131;"San Ramón";13;"Metropolitana de Santiago";4036
"288";13132;"Vitacura";13;"Metropolitana de Santiago";2770
"289";13201;"Puente Alto";13;"Metropolitana de Santiago";23087
"290";13202;"Pirque";13;"Metropolitana de Santiago";1614
"291";13203;"San José de Maipo";13;"Metropolitana de Santiago";1347
"292";13301;"Colina";13;"Metropolitana de Santiago";7053
"293";13302;"Lampa";13;"Metropolitana de Santiago";6076
"294";13303;"Tiltil";13;"Metropolitana de Santiago";1246
"295";13401;"San Bernardo";13;"Metropolitana de Santiago";16095
"296";13402;"Buin";13;"Metropolitana de Santiago";5075
"297";13403;"Calera de Tango";13;"Metropolitana de Santiago";1284
"298";13404;"Paine";13;"Metropolitana de Santiago";3306
"299";13501;"Melipilla";13;"Metropolitana de Santiago";6697
"300";13502;"Alhué";13;"Metropolitana de Santiago";339
"301";13503;"Curacaví";13;"Metropolitana de Santiago";1910
"302";13504;"María Pinto";13;"Metropolitana de Santiago";504
"303";13505;"San Pedro";13;"Metropolitana de Santiago";449
"304";13601;"Talagante";13;"Metropolitana de Santiago";3475
"305";13602;"El Monte";13;"Metropolitana de Santiago";1851
"306";13603;"Isla de Maipo";13;"Metropolitana de Santiago";2460
"307";13604;"Padre Hurtado";13;"Metropolitana de Santiago";2806
"308";13605;"Peñaflor";13;"Metropolitana de Santiago";3447
"309";14101;"Valdivia";14;"Los Ríos";10034
"310";14102;"Corral";14;"Los Ríos";299
"311";14103;"Lanco";14;"Los Ríos";660
"312";14104;"Los Lagos";14;"Los Ríos";1156
"313";14105;"Máfil";14;"Los Ríos";430
"314";14106;"Mariquina";14;"Los Ríos";1573
"315";14107;"Paillaco";14;"Los Ríos";1024
"316";14108;"Panguipulli";14;"Los Ríos";1765
"317";14201;"La Unión";14;"Los Ríos";2370
"318";14202;"Futrono";14;"Los Ríos";985
"319";14203;"Lago Ranco";14;"Los Ríos";643
"320";14204;"Río Bueno";14;"Los Ríos";1445
"321";15101;"Arica";15;"Arica y Parinacota";16360
"322";15102;"Camarones";15;"Arica y Parinacota";60
"323";15201;"Putre";15;"Arica y Parinacota";148
"324";15202;"General Lagos";15;"Arica y Parinacota";15
"325";16101;"Chillán";16;"Ñuble";11365
"326";16102;"Bulnes";16;"Ñuble";1229
"327";16103;"Chillán Viejo";16;"Ñuble";1652
"328";16104;"El Carmen";16;"Ñuble";499
"329";16105;"Pemuco";16;"Ñuble";437
"330";16106;"Pinto";16;"Ñuble";549
"331";16107;"Quillón";16;"Ñuble";1007
"332";16108;"San Ignacio";16;"Ñuble";622
"333";16109;"Yungay";16;"Ñuble";832
"334";16201;"Quirihue";16;"Ñuble";547
"335";16202;"Cobquecura";16;"Ñuble";313
"336";16203;"Coelemu";16;"Ñuble";595
"337";16204;"Ninhue";16;"Ñuble";208
"338";16205;"Portezuelo";16;"Ñuble";161
"339";16206;"Ranquil";16;"Ñuble";346
"340";16207;"Treguaco";16;"Ñuble";268
"341";16301;"San Carlos";16;"Ñuble";2636
"342";16302;"Coihueco";16;"Ñuble";1345
"343";16303;"Ñiquén";16;"Ñuble";437
"344";16304;"San Fabián";16;"Ñuble";268
"345";16305;"San Nicolás";16;"Ñuble";560
