"";"pais";"año";"estimacion";"cut_comuna";"comuna";"cut_region";"region"
"321";"ECUADOR";"2022";573;13123;"Providencia";13;"Metropolitana de Santiago"
"322";"ECUADOR";"2022";675;13124;"Pudahuel";13;"Metropolitana de Santiago"
"323";"ECUADOR";"2022";1326;13201;"Puente Alto";13;"Metropolitana de Santiago"
"324";"ECUADOR";"2022";558;13125;"Quilicura";13;"Metropolitana de Santiago"
"325";"ECUADOR";"2022";876;13126;"Quinta Normal";13;"Metropolitana de Santiago"
"326";"ECUADOR";"2022";1196;13127;"Recoleta";13;"Metropolitana de Santiago"
"327";"ECUADOR";"2022";688;13401;"San Bernardo";13;"Metropolitana de Santiago"
"328";"ECUADOR";"2022";448;13129;"San Joaquín";13;"Metropolitana de Santiago"
"329";"ECUADOR";"2022";564;13130;"San Miguel";13;"Metropolitana de Santiago"
"330";"ECUADOR";"2022";5056;13101;"Santiago";13;"Metropolitana de Santiago"
"331";"ECUADOR";"2022";271;13132;"Vitacura";13;"Metropolitana de Santiago"
"332";"ECUADOR";"2022";822;13120;"Ñuñoa";13;"Metropolitana de Santiago"
"333";"ECUADOR";"2022";669;1107;"Alto Hospicio";1;"Tarapacá"
"334";"ECUADOR";"2022";1284;1101;"Iquique";1;"Tarapacá"
"335";"ECUADOR";"2022";380;5101;"Valparaíso";5;"Valparaíso"
"336";"ECUADOR";"2022";531;5109;"Viña del Mar";5;"Valparaíso"
"337";"ESPAÑA";"2022";357;2101;"Antofagasta";2;"Antofagasta"
"338";"ESPAÑA";"2022";115;2201;"Calama";2;"Antofagasta"
"339";"ESPAÑA";"2022";115;15101;"Arica";15;"Arica y Parinacota"
"340";"ESPAÑA";"2022";67;3101;"Copiapó";3;"Atacama"
"341";"ESPAÑA";"2022";306;8101;"Concepción";8;"Biobío"
"342";"ESPAÑA";"2022";156;4102;"Coquimbo";4;"Coquimbo"
"343";"ESPAÑA";"2022";304;4101;"La Serena";4;"Coquimbo"
"344";"ESPAÑA";"2022";263;9101;"Temuco";9;"La Araucanía"
"345";"ESPAÑA";"2022";120;6101;"Rancagua";6;"Libertador Gral. Bernardo O'Higgins"
"346";"ESPAÑA";"2022";98;10101;"Puerto Montt";10;"Los Lagos"
"347";"ESPAÑA";"2022";103;7301;"Curicó";7;"Maule"
"348";"ESPAÑA";"2022";238;7101;"Talca";7;"Maule"
"349";"ESPAÑA";"2022";31;13103;"Cerro Navia";13;"Metropolitana de Santiago"
"350";"ESPAÑA";"2022";259;13301;"Colina";13;"Metropolitana de Santiago"
"351";"ESPAÑA";"2022";41;13104;"Conchalí";13;"Metropolitana de Santiago"
"352";"ESPAÑA";"2022";80;13106;"Estación Central";13;"Metropolitana de Santiago"
"353";"ESPAÑA";"2022";87;13108;"Independencia";13;"Metropolitana de Santiago"
"354";"ESPAÑA";"2022";59;13109;"La Cisterna";13;"Metropolitana de Santiago"
"355";"ESPAÑA";"2022";234;13110;"La Florida";13;"Metropolitana de Santiago"
"356";"ESPAÑA";"2022";3452;13114;"Las Condes";13;"Metropolitana de Santiago"
"357";"ESPAÑA";"2022";685;13115;"Lo Barnechea";13;"Metropolitana de Santiago"
"358";"ESPAÑA";"2022";33;13117;"Lo Prado";13;"Metropolitana de Santiago"
"359";"ESPAÑA";"2022";118;13118;"Macul";13;"Metropolitana de Santiago"
"360";"ESPAÑA";"2022";217;13119;"Maipú";13;"Metropolitana de Santiago"
"361";"ESPAÑA";"2022";71;13501;"Melipilla";13;"Metropolitana de Santiago"
"362";"ESPAÑA";"2022";205;13122;"Peñalolén";13;"Metropolitana de Santiago"
"363";"ESPAÑA";"2022";1758;13123;"Providencia";13;"Metropolitana de Santiago"
"364";"ESPAÑA";"2022";62;13124;"Pudahuel";13;"Metropolitana de Santiago"
"365";"ESPAÑA";"2022";174;13201;"Puente Alto";13;"Metropolitana de Santiago"
