"";"cut_region";"region";"cut_provincia";"provincia";"cut_comuna";"comuna";"pob_crecimiento_5a";"pob_crecimiento_10a";"pob_crecimiento_20a"
"209";10;"Los Lagos";101;"Llanquihue";10103;"Cochamó";-0,0171812749003984;-0,0491447843893038;-0,119955406911929
"210";10;"Los Lagos";101;"Llanquihue";10104;"Fresia";-0,00703001579778828;-0,0151978065021543;-0,0383261933904528
"211";10;"Los Lagos";101;"Llanquihue";10105;"Frutillar";0,0390835579514826;0,103121191245827;0,288021284494493
"212";10;"Los Lagos";101;"Llanquihue";10106;"Los Muermos";0,00258630383447644;0,00911097278026141;0,0231223822365023
"213";10;"Los Lagos";101;"Llanquihue";10107;"Llanquihue";0,0182456140350877;0,0399713309074869;0,0940780697175339
"214";10;"Los Lagos";101;"Llanquihue";10108;"Maullín";-0,0122008446738621;-0,0328826463638751;-0,0830169892339286
"215";10;"Los Lagos";101;"Llanquihue";10109;"Puerto Varas";0,0725467655972412;0,188640785694432;0,482778548312529
"216";10;"Los Lagos";102;"Chiloé";10201;"Castro";0,0320455797009362;0,0741573529087582;0,176440763900625
"217";10;"Los Lagos";102;"Chiloé";10202;"Ancud";0,00342150593454305;0,0112722948870392;0,0282674404546004
"218";10;"Los Lagos";102;"Chiloé";10203;"Chonchi";0,022502985731347;0,0817262933900784;0,23356335785243
"219";10;"Los Lagos";102;"Chiloé";10204;"Curaco de Vélez";0,0232615689185844;0,0638024183174686;0,165773893431068
"220";10;"Los Lagos";102;"Chiloé";10205;"Dalcahue";0,0342612419700214;0,0904472978693383;0,315740188984422
"221";10;"Los Lagos";102;"Chiloé";10206;"Puqueldón";-0,00261967135032148;-0,00546188553787696;-0,0205799812909261
"222";10;"Los Lagos";102;"Chiloé";10207;"Queilén";0,00144560896277568;0,00910415149308075;0,034920634920635
"223";10;"Los Lagos";102;"Chiloé";10208;"Quellón";0,0376338532520746;0,10017523364486;0,296562405885643
"224";10;"Los Lagos";102;"Chiloé";10209;"Quemchi";-0,00296127562642368;-0,00522727272727275;-0,0127438818089546
"225";10;"Los Lagos";102;"Chiloé";10210;"Quinchao";-0,0161057692307692;-0,0396527451900516;-0,104278367436262
"226";10;"Los Lagos";103;"Osorno";10301;"Osorno";0,0230247887846997;0,0604815668064169;0,152396577531718
"227";10;"Los Lagos";103;"Osorno";10302;"Puerto Octay";-0,0173611111111112;-0,0509327185076504;-0,130317871890906
"228";10;"Los Lagos";103;"Osorno";10303;"Purranque";-0,00536027702670649;-0,0107567465559539;-0,0264196499048149
"229";10;"Los Lagos";103;"Osorno";10304;"Puyehue";0,00493197278911572;0,0140724214861849;0,0386711197046932
"230";10;"Los Lagos";103;"Osorno";10305;"Río Negro";-0,0152415577151647;-0,0335529024289831;-0,0741471110234667
"231";10;"Los Lagos";103;"Osorno";10306;"San Juan de la Costa";-0,034590377113134;-0,0792508991690438;-0,17748725902947
"232";10;"Los Lagos";103;"Osorno";10307;"San Pablo";-0,000948136910969954;9,49126803340139e-05;0,0018064270773912
"233";10;"Los Lagos";104;"Palena";10401;"Chaitén";0,0153969206158768;0,01316839584996;-0,226032616979119
"234";10;"Los Lagos";104;"Palena";10402;"Futaleufú";0,0512635379061372;0,132633216647219;0,441584158415842
