"";"cut_comuna";"comuna";"cut_region";"region";"delitos";"delitos_mcs";"delitoc_mcs_p"
"237";11101;"Coihaique";11;"Aysén del General Carlos Ibáñez del Campo";2506;892;2,80941704035874
"238";11102;"Lago Verde";11;"Aysén del General Carlos Ibáñez del Campo";54;12;4,5
"239";11201;"Aisén";11;"Aysén del General Carlos Ibáñez del Campo";1551;500;3,102
"240";11202;"Cisnes";11;"Aysén del General Carlos Ibáñez del Campo";376;79;4,75949367088608
"241";11203;"Guaitecas";11;"Aysén del General Carlos Ibáñez del Campo";250;37;6,75675675675676
"242";11301;"Cochrane";11;"Aysén del General Carlos Ibáñez del Campo";376;60;6,26666666666667
"243";11302;"O'Higgins";11;"Aysén del General Carlos Ibáñez del Campo";20;12;1,66666666666667
"244";11303;"Tortel";11;"Aysén del General Carlos Ibáñez del Campo";39;15;2,6
"245";11401;"Chile Chico";11;"Aysén del General Carlos Ibáñez del Campo";437;67;6,52238805970149
"246";11402;"Río Ibáñez";11;"Aysén del General Carlos Ibáñez del Campo";147;40;3,675
"247";12101;"Punta Arenas";12;"Magallanes y de la Antártica Chilena";3656;1512;2,41798941798942
"248";12102;"Laguna Blanca";12;"Magallanes y de la Antártica Chilena";12;1;12
"249";12103;"Río Verde";12;"Magallanes y de la Antártica Chilena";4;1;4
"250";12104;"San Gregorio";12;"Magallanes y de la Antártica Chilena";31;7;4,42857142857143
"251";12201;"Cabo de Hornos";12;"Magallanes y de la Antártica Chilena";163;25;6,52
"252";12301;"Porvenir";12;"Magallanes y de la Antártica Chilena";325;80;4,0625
"253";12302;"Primavera";12;"Magallanes y de la Antártica Chilena";61;12;5,08333333333333
"254";12303;"Timaukel";12;"Magallanes y de la Antártica Chilena";6;1;6
"255";12401;"Natales";12;"Magallanes y de la Antártica Chilena";971;317;3,06309148264984
"256";12402;"Torres del Paine";12;"Magallanes y de la Antártica Chilena";27;14;1,92857142857143
"257";13101;"Santiago";13;"Metropolitana de Santiago";44386;24160;1,83716887417219
"258";13102;"Cerrillos";13;"Metropolitana de Santiago";5767;2851;2,02279901788846
"259";13103;"Cerro Navia";13;"Metropolitana de Santiago";6588;3482;1,89201608271109
"260";13104;"Conchalí";13;"Metropolitana de Santiago";6235;3251;1,91787142417718
"261";13105;"El Bosque";13;"Metropolitana de Santiago";6380;3208;1,98877805486284
"262";13106;"Estación Central";13;"Metropolitana de Santiago";14877;9554;1,55714883818296
"263";13107;"Huechuraba";13;"Metropolitana de Santiago";4668;2366;1,97295012679628
"264";13108;"Independencia";13;"Metropolitana de Santiago";9028;3065;2,94551386623165
"265";13109;"La Cisterna";13;"Metropolitana de Santiago";6637;3606;1,84054353854687
"266";13110;"La Florida";13;"Metropolitana de Santiago";15523;7915;1,96121288692356
"267";13111;"La Granja";13;"Metropolitana de Santiago";5938;2840;2,09084507042254
