"";"cut_comuna";"comuna";"año";"delitos_mcs";"poblacion";"tasa"
"288";13132;"Vitacura";2023;1370;97388;14
"289";13201;"Puente Alto";2023;11467;664370;17
"290";13202;"Pirque";2023;333;32412;10
"291";13203;"San José de Maipo";2023;367;19330;18
"292";13301;"Colina";2023;3041;193594;15
"293";13302;"Lampa";2023;2682;139266;19
"294";13303;"Tiltil";2023;408;22262;18
"295";13401;"San Bernardo";2023;7683;345583;22
"296";13402;"Buin";2023;2255;116032;19
"297";13403;"Calera de Tango";2023;440;29880;14
"298";13404;"Paine";2023;1348;87059;15
"299";13501;"Melipilla";2023;2936;147275;19
"300";13502;"Alhué";2023;99;7756;12
"301";13503;"Curacaví";2023;757;37932;19
"302";13504;"María Pinto";2023;217;15503;13
"303";13505;"San Pedro";2023;165;12412;13
"304";13601;"Talagante";2023;1410;84670;16
"305";13602;"El Monte";2023;611;41711;14
"306";13603;"Isla de Maipo";2023;682;41876;16
"307";13604;"Padre Hurtado";2023;1395;79925;17
"308";13605;"Peñaflor";2023;1515;105498;14
"309";14101;"Valdivia";2023;4666;180848;25
"310";14102;"Corral";2023;87;5432;16
"311";14103;"Lanco";2023;222;17957;12
"312";14104;"Los Lagos";2023;372;20523;18
"313";14105;"Máfil";2023;123;7381;16
"314";14106;"Mariquina";2023;519;23830;21
"315";14107;"Paillaco";2023;352;20915;16
"316";14108;"Panguipulli";2023;654;36178;18
"317";14201;"La Unión";2023;709;39668;17
"318";14202;"Futrono";2023;227;15211;14
"319";14203;"Lago Ranco";2023;151;10280;14
"320";14204;"Río Bueno";2023;473;32982;14
"321";15101;"Arica";2023;8124;255195;31
"322";15102;"Camarones";2023;15;1244;12
"323";15201;"Putre";2023;38;2559;14
"324";15202;"General Lagos";2023;4;804;4
"325";16101;"Chillán";2023;4847;202826;23
"326";16102;"Bulnes";2023;368;22732;16
"327";16103;"Chillán Viejo";2023;587;35176;16
"328";16104;"El Carmen";2023;174;12234;14
