"";"cut_comuna";"comuna";"cut_region";"region";"delitos_mcs"
"196";9201;"Angol";9;"La Araucanía";1009
"197";9202;"Collipulli";9;"La Araucanía";408
"198";9203;"Curacautín";9;"La Araucanía";278
"199";9204;"Ercilla";9;"La Araucanía";113
"200";9205;"Lonquimay";9;"La Araucanía";160
"201";9206;"Los Sauces";9;"La Araucanía";123
"202";9207;"Lumaco";9;"La Araucanía";115
"203";9208;"Purén";9;"La Araucanía";211
"204";9209;"Renaico";9;"La Araucanía";207
"205";9210;"Traiguén";9;"La Araucanía";337
"206";9211;"Victoria";9;"La Araucanía";693
"207";10101;"Puerto Montt";10;"Los Lagos";7270
"208";10102;"Calbuco";10;"Los Lagos";646
"209";10103;"Cochamó";10;"Los Lagos";48
"210";10104;"Fresia";10;"Los Lagos";183
"211";10105;"Frutillar";10;"Los Lagos";344
"212";10106;"Los Muermos";10;"Los Lagos";244
"213";10107;"Llanquihue";10;"Los Lagos";322
"214";10108;"Maullín";10;"Los Lagos";234
"215";10109;"Puerto Varas";10;"Los Lagos";929
"216";10201;"Castro";10;"Los Lagos";1139
"217";10202;"Ancud";10;"Los Lagos";626
"218";10203;"Chonchi";10;"Los Lagos";235
"219";10204;"Curaco de Vélez";10;"Los Lagos";34
"220";10205;"Dalcahue";10;"Los Lagos";235
"221";10206;"Puqueldón";10;"Los Lagos";27
"222";10207;"Queilén";10;"Los Lagos";73
"223";10208;"Quellón";10;"Los Lagos";501
"224";10209;"Quemchi";10;"Los Lagos";79
"225";10210;"Quinchao";10;"Los Lagos";96
"226";10301;"Osorno";10;"Los Lagos";4720
"227";10302;"Puerto Octay";10;"Los Lagos";129
"228";10303;"Purranque";10;"Los Lagos";332
"229";10304;"Puyehue";10;"Los Lagos";226
"230";10305;"Río Negro";10;"Los Lagos";231
"231";10306;"San Juan de la Costa";10;"Los Lagos";180
"232";10307;"San Pablo";10;"Los Lagos";188
"233";10401;"Chaitén";10;"Los Lagos";60
"234";10402;"Futaleufú";10;"Los Lagos";40
"235";10403;"Hualaihué";10;"Los Lagos";170
"236";10404;"Palena";10;"Los Lagos";18
"237";11101;"Coihaique";11;"Aysén del General Carlos Ibáñez del Campo";892
"238";11102;"Lago Verde";11;"Aysén del General Carlos Ibáñez del Campo";12
"239";11201;"Aisén";11;"Aysén del General Carlos Ibáñez del Campo";500
"240";11202;"Cisnes";11;"Aysén del General Carlos Ibáñez del Campo";79
"241";11203;"Guaitecas";11;"Aysén del General Carlos Ibáñez del Campo";37
"242";11301;"Cochrane";11;"Aysén del General Carlos Ibáñez del Campo";60
"243";11302;"O'Higgins";11;"Aysén del General Carlos Ibáñez del Campo";12
"244";11303;"Tortel";11;"Aysén del General Carlos Ibáñez del Campo";15
"245";11401;"Chile Chico";11;"Aysén del General Carlos Ibáñez del Campo";67
"246";11402;"Río Ibáñez";11;"Aysén del General Carlos Ibáñez del Campo";40
"247";12101;"Punta Arenas";12;"Magallanes y de la Antártica Chilena";1512
"248";12102;"Laguna Blanca";12;"Magallanes y de la Antártica Chilena";1
"249";12103;"Río Verde";12;"Magallanes y de la Antártica Chilena";1
"250";12104;"San Gregorio";12;"Magallanes y de la Antártica Chilena";7
"251";12201;"Cabo de Hornos";12;"Magallanes y de la Antártica Chilena";25
"252";12301;"Porvenir";12;"Magallanes y de la Antártica Chilena";80
"253";12302;"Primavera";12;"Magallanes y de la Antártica Chilena";12
"254";12303;"Timaukel";12;"Magallanes y de la Antártica Chilena";1
"255";12401;"Natales";12;"Magallanes y de la Antártica Chilena";317
"256";12402;"Torres del Paine";12;"Magallanes y de la Antártica Chilena";14
"257";13101;"Santiago";13;"Metropolitana de Santiago";24160
"258";13102;"Cerrillos";13;"Metropolitana de Santiago";2851
"259";13103;"Cerro Navia";13;"Metropolitana de Santiago";3482
"260";13104;"Conchalí";13;"Metropolitana de Santiago";3251
"261";13105;"El Bosque";13;"Metropolitana de Santiago";3208
"262";13106;"Estación Central";13;"Metropolitana de Santiago";9554
"263";13107;"Huechuraba";13;"Metropolitana de Santiago";2366
"264";13108;"Independencia";13;"Metropolitana de Santiago";3065
"265";13109;"La Cisterna";13;"Metropolitana de Santiago";3606
"266";13110;"La Florida";13;"Metropolitana de Santiago";7915
"267";13111;"La Granja";13;"Metropolitana de Santiago";2840
"268";13112;"La Pintana";13;"Metropolitana de Santiago";3626
"269";13113;"La Reina";13;"Metropolitana de Santiago";1771
"270";13114;"Las Condes";13;"Metropolitana de Santiago";4506
"271";13115;"Lo Barnechea";13;"Metropolitana de Santiago";1135
"272";13116;"Lo Espejo";13;"Metropolitana de Santiago";2274
"273";13117;"Lo Prado";13;"Metropolitana de Santiago";3246
"274";13118;"Macul";13;"Metropolitana de Santiago";3112
"275";13119;"Maipú";13;"Metropolitana de Santiago";10934
"276";13120;"Ñuñoa";13;"Metropolitana de Santiago";5338
"277";13121;"Pedro Aguirre Cerda";13;"Metropolitana de Santiago";2317
"278";13122;"Peñalolén";13;"Metropolitana de Santiago";4463
"279";13123;"Providencia";13;"Metropolitana de Santiago";8051
"280";13124;"Pudahuel";13;"Metropolitana de Santiago";6564
"281";13125;"Quilicura";13;"Metropolitana de Santiago";4430
"282";13126;"Quinta Normal";13;"Metropolitana de Santiago";4934
"283";13127;"Recoleta";13;"Metropolitana de Santiago";6454
"284";13128;"Renca";13;"Metropolitana de Santiago";3645
"285";13129;"San Joaquín";13;"Metropolitana de Santiago";2573
"286";13130;"San Miguel";13;"Metropolitana de Santiago";4341
"287";13131;"San Ramón";13;"Metropolitana de Santiago";1976
"288";13132;"Vitacura";13;"Metropolitana de Santiago";1370
"289";13201;"Puente Alto";13;"Metropolitana de Santiago";11467
"290";13202;"Pirque";13;"Metropolitana de Santiago";333
"291";13203;"San José de Maipo";13;"Metropolitana de Santiago";367
"292";13301;"Colina";13;"Metropolitana de Santiago";3041
"293";13302;"Lampa";13;"Metropolitana de Santiago";2682
"294";13303;"Tiltil";13;"Metropolitana de Santiago";408
"295";13401;"San Bernardo";13;"Metropolitana de Santiago";7683
"296";13402;"Buin";13;"Metropolitana de Santiago";2255
"297";13403;"Calera de Tango";13;"Metropolitana de Santiago";440
"298";13404;"Paine";13;"Metropolitana de Santiago";1348
"299";13501;"Melipilla";13;"Metropolitana de Santiago";2936
"300";13502;"Alhué";13;"Metropolitana de Santiago";99
"301";13503;"Curacaví";13;"Metropolitana de Santiago";757
"302";13504;"María Pinto";13;"Metropolitana de Santiago";217
"303";13505;"San Pedro";13;"Metropolitana de Santiago";165
"304";13601;"Talagante";13;"Metropolitana de Santiago";1410
"305";13602;"El Monte";13;"Metropolitana de Santiago";611
"306";13603;"Isla de Maipo";13;"Metropolitana de Santiago";682
"307";13604;"Padre Hurtado";13;"Metropolitana de Santiago";1395
"308";13605;"Peñaflor";13;"Metropolitana de Santiago";1515
"309";14101;"Valdivia";14;"Los Ríos";4666
"310";14102;"Corral";14;"Los Ríos";87
"311";14103;"Lanco";14;"Los Ríos";222
"312";14104;"Los Lagos";14;"Los Ríos";372
"313";14105;"Máfil";14;"Los Ríos";123
"314";14106;"Mariquina";14;"Los Ríos";519
"315";14107;"Paillaco";14;"Los Ríos";352
"316";14108;"Panguipulli";14;"Los Ríos";654
"317";14201;"La Unión";14;"Los Ríos";709
"318";14202;"Futrono";14;"Los Ríos";227
"319";14203;"Lago Ranco";14;"Los Ríos";151
"320";14204;"Río Bueno";14;"Los Ríos";473
"321";15101;"Arica";15;"Arica y Parinacota";8124
"322";15102;"Camarones";15;"Arica y Parinacota";15
"323";15201;"Putre";15;"Arica y Parinacota";38
"324";15202;"General Lagos";15;"Arica y Parinacota";4
"325";16101;"Chillán";16;"Ñuble";4847
"326";16102;"Bulnes";16;"Ñuble";368
"327";16103;"Chillán Viejo";16;"Ñuble";587
"328";16104;"El Carmen";16;"Ñuble";174
"329";16105;"Pemuco";16;"Ñuble";143
"330";16106;"Pinto";16;"Ñuble";145
"331";16107;"Quillón";16;"Ñuble";389
"332";16108;"San Ignacio";16;"Ñuble";243
"333";16109;"Yungay";16;"Ñuble";305
"334";16201;"Quirihue";16;"Ñuble";169
"335";16202;"Cobquecura";16;"Ñuble";53
"336";16203;"Coelemu";16;"Ñuble";226
"337";16204;"Ninhue";16;"Ñuble";79
"338";16205;"Portezuelo";16;"Ñuble";53
"339";16206;"Ranquil";16;"Ñuble";116
"340";16207;"Treguaco";16;"Ñuble";87
"341";16301;"San Carlos";16;"Ñuble";1052
"342";16302;"Coihueco";16;"Ñuble";363
"343";16303;"Ñiquén";16;"Ñuble";132
"344";16304;"San Fabián";16;"Ñuble";96
"345";16305;"San Nicolás";16;"Ñuble";178
